parnme,r,c,sp
a_r:72_c:45_sp:33,72,45,33
a_r:37_c:35_sp:33,37,35,33
a_r:34_c:60_sp:33,34,60,33
a_r:66_c:39_sp:33,66,39,33
a_r:58_c:52_sp:33,58,52,33
a_r:54_c:31_sp:33,54,31,33
a_r:34_c:54_sp:33,34,54,33
a_r:55_c:37_sp:33,55,37,33
a_r:77_c:52_sp:33,77,52,33
a_r:35_c:37_sp:33,35,37,33
a_r:71_c:31_sp:33,71,31,33
a_r:73_c:59_sp:33,73,59,33
a_r:54_c:41_sp:33,54,41,33
a_r:68_c:55_sp:33,68,55,33
a_r:59_c:40_sp:33,59,40,33
a_r:72_c:58_sp:34,72,58,34
a_r:70_c:32_sp:34,70,32,34
a_r:41_c:36_sp:34,41,36,34
a_r:84_c:42_sp:34,84,42,34
a_r:76_c:61_sp:34,76,61,34
a_r:72_c:45_sp:34,72,45,34
a_r:37_c:35_sp:34,37,35,34
a_r:34_c:60_sp:34,34,60,34
a_r:66_c:39_sp:34,66,39,34
a_r:58_c:52_sp:34,58,52,34
a_r:54_c:31_sp:34,54,31,34
a_r:34_c:54_sp:34,34,54,34
a_r:55_c:37_sp:34,55,37,34
a_r:77_c:52_sp:34,77,52,34
a_r:35_c:37_sp:34,35,37,34
a_r:71_c:31_sp:34,71,31,34
a_r:73_c:59_sp:34,73,59,34
a_r:54_c:41_sp:34,54,41,34
a_r:68_c:55_sp:34,68,55,34
a_r:59_c:40_sp:34,59,40,34
a_r:72_c:58_sp:35,72,58,35
a_r:70_c:32_sp:35,70,32,35
a_r:41_c:36_sp:35,41,36,35
a_r:84_c:42_sp:35,84,42,35
a_r:76_c:61_sp:35,76,61,35
a_r:72_c:45_sp:35,72,45,35
a_r:37_c:35_sp:35,37,35,35
a_r:34_c:60_sp:35,34,60,35
a_r:66_c:39_sp:35,66,39,35
a_r:58_c:52_sp:35,58,52,35
a_r:54_c:31_sp:35,54,31,35
a_r:34_c:54_sp:35,34,54,35
a_r:55_c:37_sp:35,55,37,35
a_r:77_c:52_sp:35,77,52,35
a_r:35_c:37_sp:35,35,37,35
a_r:71_c:31_sp:35,71,31,35
a_r:73_c:59_sp:35,73,59,35
a_r:54_c:41_sp:35,54,41,35
a_r:68_c:55_sp:35,68,55,35
a_r:59_c:40_sp:35,59,40,35
a_r:72_c:58_sp:36,72,58,36
a_r:70_c:32_sp:36,70,32,36
a_r:41_c:36_sp:36,41,36,36
a_r:84_c:42_sp:36,84,42,36
a_r:76_c:61_sp:36,76,61,36
a_r:72_c:45_sp:36,72,45,36
a_r:37_c:35_sp:36,37,35,36
a_r:34_c:60_sp:36,34,60,36
a_r:66_c:39_sp:36,66,39,36
a_r:58_c:52_sp:36,58,52,36
a_r:54_c:31_sp:36,54,31,36
a_r:34_c:54_sp:36,34,54,36
a_r:55_c:37_sp:36,55,37,36
a_r:77_c:52_sp:36,77,52,36
a_r:35_c:37_sp:36,35,37,36
a_r:71_c:31_sp:36,71,31,36
a_r:73_c:59_sp:36,73,59,36
a_r:54_c:41_sp:36,54,41,36
a_r:68_c:55_sp:36,68,55,36
a_r:59_c:40_sp:36,59,40,36
a_r:72_c:58_sp:37,72,58,37
a_r:70_c:32_sp:37,70,32,37
a_r:41_c:36_sp:37,41,36,37
a_r:84_c:42_sp:37,84,42,37
a_r:76_c:61_sp:37,76,61,37
a_r:72_c:45_sp:37,72,45,37
a_r:37_c:35_sp:37,37,35,37
a_r:34_c:60_sp:37,34,60,37
a_r:66_c:39_sp:37,66,39,37
a_r:58_c:52_sp:37,58,52,37
a_r:54_c:31_sp:37,54,31,37
a_r:34_c:54_sp:37,34,54,37
a_r:55_c:37_sp:37,55,37,37
a_r:77_c:52_sp:37,77,52,37
a_r:35_c:37_sp:37,35,37,37
a_r:71_c:31_sp:37,71,31,37
a_r:73_c:59_sp:37,73,59,37
a_r:54_c:41_sp:37,54,41,37
a_r:68_c:55_sp:37,68,55,37
a_r:59_c:40_sp:37,59,40,37
a_r:72_c:58_sp:38,72,58,38
a_r:70_c:32_sp:38,70,32,38
a_r:41_c:36_sp:38,41,36,38
a_r:84_c:42_sp:38,84,42,38
a_r:76_c:61_sp:38,76,61,38
a_r:72_c:45_sp:38,72,45,38
a_r:37_c:35_sp:38,37,35,38
a_r:34_c:60_sp:38,34,60,38
a_r:66_c:39_sp:38,66,39,38
a_r:58_c:52_sp:38,58,52,38
a_r:54_c:31_sp:38,54,31,38
a_r:34_c:54_sp:38,34,54,38
a_r:55_c:37_sp:38,55,37,38
a_r:77_c:52_sp:38,77,52,38
a_r:35_c:37_sp:38,35,37,38
a_r:71_c:31_sp:38,71,31,38
a_r:73_c:59_sp:38,73,59,38
a_r:54_c:41_sp:38,54,41,38
a_r:68_c:55_sp:38,68,55,38
a_r:59_c:40_sp:38,59,40,38
a_r:72_c:58_sp:39,72,58,39
a_r:70_c:32_sp:39,70,32,39
a_r:41_c:36_sp:39,41,36,39
a_r:84_c:42_sp:39,84,42,39
a_r:76_c:61_sp:39,76,61,39
a_r:72_c:45_sp:39,72,45,39
a_r:37_c:35_sp:39,37,35,39
a_r:34_c:60_sp:39,34,60,39
a_r:66_c:39_sp:39,66,39,39
a_r:58_c:52_sp:39,58,52,39
a_r:54_c:31_sp:39,54,31,39
a_r:34_c:54_sp:39,34,54,39
a_r:55_c:37_sp:39,55,37,39
a_r:77_c:52_sp:39,77,52,39
a_r:35_c:37_sp:39,35,37,39
a_r:71_c:31_sp:39,71,31,39
a_r:73_c:59_sp:39,73,59,39
a_r:54_c:41_sp:39,54,41,39
a_r:68_c:55_sp:39,68,55,39
a_r:59_c:40_sp:39,59,40,39
a_r:72_c:58_sp:40,72,58,40
a_r:70_c:32_sp:40,70,32,40
a_r:41_c:36_sp:40,41,36,40
a_r:84_c:42_sp:40,84,42,40
a_r:76_c:61_sp:40,76,61,40
a_r:72_c:45_sp:40,72,45,40
a_r:37_c:35_sp:40,37,35,40
a_r:34_c:60_sp:40,34,60,40
a_r:66_c:39_sp:40,66,39,40
a_r:58_c:52_sp:40,58,52,40
a_r:54_c:31_sp:40,54,31,40
a_r:34_c:54_sp:40,34,54,40
a_r:55_c:37_sp:40,55,37,40
a_r:77_c:52_sp:40,77,52,40
a_r:35_c:37_sp:40,35,37,40
a_r:71_c:31_sp:40,71,31,40
a_r:73_c:59_sp:40,73,59,40
a_r:54_c:41_sp:40,54,41,40
a_r:68_c:55_sp:40,68,55,40
a_r:59_c:40_sp:40,59,40,40
a_r:72_c:58_sp:41,72,58,41
a_r:70_c:32_sp:41,70,32,41
a_r:41_c:36_sp:41,41,36,41
a_r:84_c:42_sp:41,84,42,41
a_r:76_c:61_sp:41,76,61,41
a_r:72_c:45_sp:41,72,45,41
a_r:37_c:35_sp:41,37,35,41
a_r:34_c:60_sp:41,34,60,41
a_r:66_c:39_sp:41,66,39,41
a_r:58_c:52_sp:41,58,52,41
a_r:54_c:31_sp:41,54,31,41
a_r:34_c:54_sp:41,34,54,41
a_r:55_c:37_sp:41,55,37,41
a_r:77_c:52_sp:41,77,52,41
a_r:35_c:37_sp:41,35,37,41
a_r:71_c:31_sp:41,71,31,41
a_r:73_c:59_sp:41,73,59,41
a_r:54_c:41_sp:41,54,41,41
a_r:68_c:55_sp:41,68,55,41
a_r:59_c:40_sp:41,59,40,41
a_r:72_c:58_sp:42,72,58,42
a_r:70_c:32_sp:42,70,32,42
a_r:41_c:36_sp:42,41,36,42
a_r:84_c:42_sp:42,84,42,42
a_r:76_c:61_sp:42,76,61,42
a_r:72_c:45_sp:42,72,45,42
a_r:37_c:35_sp:42,37,35,42
a_r:34_c:60_sp:42,34,60,42
a_r:66_c:39_sp:42,66,39,42
a_r:58_c:52_sp:42,58,52,42
a_r:54_c:31_sp:42,54,31,42
a_r:34_c:54_sp:42,34,54,42
a_r:55_c:37_sp:42,55,37,42
a_r:77_c:52_sp:42,77,52,42
a_r:35_c:37_sp:42,35,37,42
a_r:71_c:31_sp:42,71,31,42
a_r:73_c:59_sp:42,73,59,42
a_r:54_c:41_sp:42,54,41,42
a_r:68_c:55_sp:42,68,55,42
a_r:59_c:40_sp:42,59,40,42
a_r:72_c:58_sp:43,72,58,43
a_r:70_c:32_sp:43,70,32,43
a_r:41_c:36_sp:43,41,36,43
a_r:84_c:42_sp:43,84,42,43
a_r:76_c:61_sp:43,76,61,43
a_r:72_c:45_sp:43,72,45,43
a_r:37_c:35_sp:43,37,35,43
a_r:34_c:60_sp:43,34,60,43
a_r:66_c:39_sp:43,66,39,43
a_r:58_c:52_sp:43,58,52,43
a_r:54_c:31_sp:43,54,31,43
a_r:34_c:54_sp:43,34,54,43
a_r:55_c:37_sp:43,55,37,43
a_r:77_c:52_sp:43,77,52,43
a_r:35_c:37_sp:43,35,37,43
a_r:71_c:31_sp:43,71,31,43
a_r:73_c:59_sp:43,73,59,43
a_r:54_c:41_sp:43,54,41,43
a_r:68_c:55_sp:43,68,55,43
a_r:59_c:40_sp:43,59,40,43
a_r:72_c:58_sp:44,72,58,44
a_r:70_c:32_sp:44,70,32,44
a_r:41_c:36_sp:44,41,36,44
a_r:84_c:42_sp:44,84,42,44
a_r:76_c:61_sp:44,76,61,44
a_r:72_c:45_sp:44,72,45,44
a_r:37_c:35_sp:44,37,35,44
a_r:34_c:60_sp:44,34,60,44
a_r:66_c:39_sp:44,66,39,44
a_r:58_c:52_sp:44,58,52,44
a_r:54_c:31_sp:44,54,31,44
a_r:34_c:54_sp:44,34,54,44
a_r:55_c:37_sp:44,55,37,44
a_r:77_c:52_sp:44,77,52,44
a_r:35_c:37_sp:44,35,37,44
a_r:71_c:31_sp:44,71,31,44
a_r:73_c:59_sp:44,73,59,44
a_r:54_c:41_sp:44,54,41,44
a_r:68_c:55_sp:44,68,55,44
a_r:59_c:40_sp:44,59,40,44
a_r:72_c:58_sp:45,72,58,45
a_r:70_c:32_sp:45,70,32,45
a_r:41_c:36_sp:45,41,36,45
a_r:84_c:42_sp:45,84,42,45
a_r:76_c:61_sp:45,76,61,45
a_r:72_c:45_sp:45,72,45,45
a_r:37_c:35_sp:45,37,35,45
a_r:34_c:60_sp:45,34,60,45
a_r:66_c:39_sp:45,66,39,45
a_r:58_c:52_sp:45,58,52,45
a_r:54_c:31_sp:45,54,31,45
a_r:34_c:54_sp:45,34,54,45
a_r:55_c:37_sp:45,55,37,45
a_r:77_c:52_sp:45,77,52,45
a_r:35_c:37_sp:45,35,37,45
a_r:71_c:31_sp:45,71,31,45
a_r:73_c:59_sp:45,73,59,45
a_r:54_c:41_sp:45,54,41,45
a_r:68_c:55_sp:45,68,55,45
a_r:59_c:40_sp:45,59,40,45
a_r:72_c:58_sp:46,72,58,46
a_r:70_c:32_sp:46,70,32,46
a_r:41_c:36_sp:46,41,36,46
a_r:84_c:42_sp:46,84,42,46
a_r:76_c:61_sp:46,76,61,46
a_r:72_c:45_sp:46,72,45,46
a_r:37_c:35_sp:46,37,35,46
a_r:34_c:60_sp:46,34,60,46
a_r:66_c:39_sp:46,66,39,46
a_r:58_c:52_sp:46,58,52,46
a_r:54_c:31_sp:46,54,31,46
a_r:34_c:54_sp:46,34,54,46
a_r:55_c:37_sp:46,55,37,46
a_r:77_c:52_sp:46,77,52,46
a_r:35_c:37_sp:46,35,37,46
a_r:71_c:31_sp:46,71,31,46
a_r:73_c:59_sp:46,73,59,46
a_r:54_c:41_sp:46,54,41,46
a_r:68_c:55_sp:46,68,55,46
a_r:59_c:40_sp:46,59,40,46
a_r:72_c:58_sp:47,72,58,47
a_r:70_c:32_sp:47,70,32,47
a_r:41_c:36_sp:47,41,36,47
a_r:84_c:42_sp:47,84,42,47
a_r:76_c:61_sp:47,76,61,47
a_r:72_c:45_sp:47,72,45,47
a_r:37_c:35_sp:47,37,35,47
a_r:34_c:60_sp:47,34,60,47
a_r:66_c:39_sp:47,66,39,47
a_r:58_c:52_sp:47,58,52,47
a_r:54_c:31_sp:47,54,31,47
a_r:34_c:54_sp:47,34,54,47
a_r:55_c:37_sp:47,55,37,47
a_r:77_c:52_sp:47,77,52,47
a_r:35_c:37_sp:47,35,37,47
a_r:71_c:31_sp:47,71,31,47
a_r:73_c:59_sp:47,73,59,47
a_r:54_c:41_sp:47,54,41,47
a_r:68_c:55_sp:47,68,55,47
a_r:59_c:40_sp:47,59,40,47
a_r:72_c:58_sp:48,72,58,48
a_r:70_c:32_sp:48,70,32,48
a_r:41_c:36_sp:48,41,36,48
a_r:84_c:42_sp:48,84,42,48
a_r:76_c:61_sp:48,76,61,48
a_r:72_c:45_sp:48,72,45,48
a_r:37_c:35_sp:48,37,35,48
a_r:34_c:60_sp:48,34,60,48
a_r:66_c:39_sp:48,66,39,48
a_r:58_c:52_sp:48,58,52,48
a_r:54_c:31_sp:48,54,31,48
a_r:34_c:54_sp:48,34,54,48
a_r:55_c:37_sp:48,55,37,48
a_r:77_c:52_sp:48,77,52,48
a_r:35_c:37_sp:48,35,37,48
a_r:71_c:31_sp:48,71,31,48
a_r:73_c:59_sp:48,73,59,48
a_r:54_c:41_sp:48,54,41,48
a_r:68_c:55_sp:48,68,55,48
a_r:59_c:40_sp:48,59,40,48
a_r:72_c:58_sp:49,72,58,49
a_r:70_c:32_sp:49,70,32,49
a_r:41_c:36_sp:49,41,36,49
a_r:84_c:42_sp:49,84,42,49
a_r:76_c:61_sp:49,76,61,49
a_r:72_c:45_sp:49,72,45,49
a_r:37_c:35_sp:49,37,35,49
a_r:34_c:60_sp:49,34,60,49
a_r:66_c:39_sp:49,66,39,49
a_r:58_c:52_sp:49,58,52,49
a_r:54_c:31_sp:49,54,31,49
a_r:34_c:54_sp:49,34,54,49
a_r:55_c:37_sp:49,55,37,49
a_r:77_c:52_sp:49,77,52,49
a_r:35_c:37_sp:49,35,37,49
a_r:71_c:31_sp:49,71,31,49
a_r:73_c:59_sp:49,73,59,49
a_r:54_c:41_sp:49,54,41,49
a_r:68_c:55_sp:49,68,55,49
a_r:59_c:40_sp:49,59,40,49
a_r:72_c:58_sp:50,72,58,50
a_r:70_c:32_sp:50,70,32,50
a_r:41_c:36_sp:50,41,36,50
a_r:84_c:42_sp:50,84,42,50
a_r:76_c:61_sp:50,76,61,50
a_r:72_c:45_sp:50,72,45,50
a_r:37_c:35_sp:50,37,35,50
a_r:34_c:60_sp:50,34,60,50
a_r:66_c:39_sp:50,66,39,50
a_r:58_c:52_sp:50,58,52,50
a_r:54_c:31_sp:50,54,31,50
a_r:34_c:54_sp:50,34,54,50
a_r:55_c:37_sp:50,55,37,50
a_r:77_c:52_sp:50,77,52,50
a_r:35_c:37_sp:50,35,37,50
a_r:71_c:31_sp:50,71,31,50
a_r:73_c:59_sp:50,73,59,50
a_r:54_c:41_sp:50,54,41,50
a_r:68_c:55_sp:50,68,55,50
a_r:59_c:40_sp:50,59,40,50
a_r:72_c:58_sp:51,72,58,51
a_r:70_c:32_sp:51,70,32,51
a_r:41_c:36_sp:51,41,36,51
a_r:84_c:42_sp:51,84,42,51
a_r:76_c:61_sp:51,76,61,51
a_r:72_c:45_sp:51,72,45,51
a_r:37_c:35_sp:51,37,35,51
a_r:34_c:60_sp:51,34,60,51
a_r:66_c:39_sp:51,66,39,51
a_r:58_c:52_sp:51,58,52,51
a_r:54_c:31_sp:51,54,31,51
a_r:34_c:54_sp:51,34,54,51
a_r:55_c:37_sp:51,55,37,51
a_r:77_c:52_sp:51,77,52,51
a_r:35_c:37_sp:51,35,37,51
a_r:71_c:31_sp:51,71,31,51
a_r:73_c:59_sp:51,73,59,51
a_r:54_c:41_sp:51,54,41,51
a_r:68_c:55_sp:51,68,55,51
a_r:59_c:40_sp:51,59,40,51
