,r,c,sp,sidx,idx_strs,pargpa,parval1_a,a
296,73,59,14,"(73, 59, 14)",r:73_c:59_sp:14,p_inst:0,1.0,1.0
297,54,41,14,"(54, 41, 14)",r:54_c:41_sp:14,p_inst:0,1.0,1.0
298,68,55,14,"(68, 55, 14)",r:68_c:55_sp:14,p_inst:0,1.0,1.0
299,59,40,14,"(59, 40, 14)",r:59_c:40_sp:14,p_inst:0,1.0,1.0
300,72,58,15,"(72, 58, 15)",r:72_c:58_sp:15,p_inst:0,1.0,1.0
301,70,32,15,"(70, 32, 15)",r:70_c:32_sp:15,p_inst:0,1.0,1.0
302,41,36,15,"(41, 36, 15)",r:41_c:36_sp:15,p_inst:0,1.0,1.0
303,84,42,15,"(84, 42, 15)",r:84_c:42_sp:15,p_inst:0,1.0,1.0
304,76,61,15,"(76, 61, 15)",r:76_c:61_sp:15,p_inst:0,1.0,1.0
305,72,45,15,"(72, 45, 15)",r:72_c:45_sp:15,p_inst:0,1.0,1.0
306,37,35,15,"(37, 35, 15)",r:37_c:35_sp:15,p_inst:0,1.0,1.0
307,34,60,15,"(34, 60, 15)",r:34_c:60_sp:15,p_inst:0,1.0,1.0
308,66,39,15,"(66, 39, 15)",r:66_c:39_sp:15,p_inst:0,1.0,1.0
309,58,52,15,"(58, 52, 15)",r:58_c:52_sp:15,p_inst:0,1.0,1.0
310,54,31,15,"(54, 31, 15)",r:54_c:31_sp:15,p_inst:0,1.0,1.0
311,34,54,15,"(34, 54, 15)",r:34_c:54_sp:15,p_inst:0,1.0,1.0
312,55,37,15,"(55, 37, 15)",r:55_c:37_sp:15,p_inst:0,1.0,1.0
313,77,52,15,"(77, 52, 15)",r:77_c:52_sp:15,p_inst:0,1.0,1.0
314,35,37,15,"(35, 37, 15)",r:35_c:37_sp:15,p_inst:0,1.0,1.0
315,71,31,15,"(71, 31, 15)",r:71_c:31_sp:15,p_inst:0,1.0,1.0
316,73,59,15,"(73, 59, 15)",r:73_c:59_sp:15,p_inst:0,1.0,1.0
317,54,41,15,"(54, 41, 15)",r:54_c:41_sp:15,p_inst:0,1.0,1.0
318,68,55,15,"(68, 55, 15)",r:68_c:55_sp:15,p_inst:0,1.0,1.0
319,59,40,15,"(59, 40, 15)",r:59_c:40_sp:15,p_inst:0,1.0,1.0
320,72,58,16,"(72, 58, 16)",r:72_c:58_sp:16,p_inst:0,1.0,1.0
321,70,32,16,"(70, 32, 16)",r:70_c:32_sp:16,p_inst:0,1.0,1.0
322,41,36,16,"(41, 36, 16)",r:41_c:36_sp:16,p_inst:0,1.0,1.0
323,84,42,16,"(84, 42, 16)",r:84_c:42_sp:16,p_inst:0,1.0,1.0
324,76,61,16,"(76, 61, 16)",r:76_c:61_sp:16,p_inst:0,1.0,1.0
325,72,45,16,"(72, 45, 16)",r:72_c:45_sp:16,p_inst:0,1.0,1.0
326,37,35,16,"(37, 35, 16)",r:37_c:35_sp:16,p_inst:0,1.0,1.0
327,34,60,16,"(34, 60, 16)",r:34_c:60_sp:16,p_inst:0,1.0,1.0
328,66,39,16,"(66, 39, 16)",r:66_c:39_sp:16,p_inst:0,1.0,1.0
329,58,52,16,"(58, 52, 16)",r:58_c:52_sp:16,p_inst:0,1.0,1.0
330,54,31,16,"(54, 31, 16)",r:54_c:31_sp:16,p_inst:0,1.0,1.0
331,34,54,16,"(34, 54, 16)",r:34_c:54_sp:16,p_inst:0,1.0,1.0
332,55,37,16,"(55, 37, 16)",r:55_c:37_sp:16,p_inst:0,1.0,1.0
333,77,52,16,"(77, 52, 16)",r:77_c:52_sp:16,p_inst:0,1.0,1.0
334,35,37,16,"(35, 37, 16)",r:35_c:37_sp:16,p_inst:0,1.0,1.0
335,71,31,16,"(71, 31, 16)",r:71_c:31_sp:16,p_inst:0,1.0,1.0
336,73,59,16,"(73, 59, 16)",r:73_c:59_sp:16,p_inst:0,1.0,1.0
337,54,41,16,"(54, 41, 16)",r:54_c:41_sp:16,p_inst:0,1.0,1.0
338,68,55,16,"(68, 55, 16)",r:68_c:55_sp:16,p_inst:0,1.0,1.0
339,59,40,16,"(59, 40, 16)",r:59_c:40_sp:16,p_inst:0,1.0,1.0
340,72,58,17,"(72, 58, 17)",r:72_c:58_sp:17,p_inst:0,1.0,1.0
341,70,32,17,"(70, 32, 17)",r:70_c:32_sp:17,p_inst:0,1.0,1.0
342,41,36,17,"(41, 36, 17)",r:41_c:36_sp:17,p_inst:0,1.0,1.0
343,84,42,17,"(84, 42, 17)",r:84_c:42_sp:17,p_inst:0,1.0,1.0
344,76,61,17,"(76, 61, 17)",r:76_c:61_sp:17,p_inst:0,1.0,1.0
345,72,45,17,"(72, 45, 17)",r:72_c:45_sp:17,p_inst:0,1.0,1.0
346,37,35,17,"(37, 35, 17)",r:37_c:35_sp:17,p_inst:0,1.0,1.0
347,34,60,17,"(34, 60, 17)",r:34_c:60_sp:17,p_inst:0,1.0,1.0
348,66,39,17,"(66, 39, 17)",r:66_c:39_sp:17,p_inst:0,1.0,1.0
349,58,52,17,"(58, 52, 17)",r:58_c:52_sp:17,p_inst:0,1.0,1.0
350,54,31,17,"(54, 31, 17)",r:54_c:31_sp:17,p_inst:0,1.0,1.0
351,34,54,17,"(34, 54, 17)",r:34_c:54_sp:17,p_inst:0,1.0,1.0
352,55,37,17,"(55, 37, 17)",r:55_c:37_sp:17,p_inst:0,1.0,1.0
353,77,52,17,"(77, 52, 17)",r:77_c:52_sp:17,p_inst:0,1.0,1.0
354,35,37,17,"(35, 37, 17)",r:35_c:37_sp:17,p_inst:0,1.0,1.0
355,71,31,17,"(71, 31, 17)",r:71_c:31_sp:17,p_inst:0,1.0,1.0
356,73,59,17,"(73, 59, 17)",r:73_c:59_sp:17,p_inst:0,1.0,1.0
357,54,41,17,"(54, 41, 17)",r:54_c:41_sp:17,p_inst:0,1.0,1.0
358,68,55,17,"(68, 55, 17)",r:68_c:55_sp:17,p_inst:0,1.0,1.0
359,59,40,17,"(59, 40, 17)",r:59_c:40_sp:17,p_inst:0,1.0,1.0
360,72,58,18,"(72, 58, 18)",r:72_c:58_sp:18,p_inst:0,1.0,1.0
361,70,32,18,"(70, 32, 18)",r:70_c:32_sp:18,p_inst:0,1.0,1.0
362,41,36,18,"(41, 36, 18)",r:41_c:36_sp:18,p_inst:0,1.0,1.0
363,84,42,18,"(84, 42, 18)",r:84_c:42_sp:18,p_inst:0,1.0,1.0
364,76,61,18,"(76, 61, 18)",r:76_c:61_sp:18,p_inst:0,1.0,1.0
365,72,45,18,"(72, 45, 18)",r:72_c:45_sp:18,p_inst:0,1.0,1.0
366,37,35,18,"(37, 35, 18)",r:37_c:35_sp:18,p_inst:0,1.0,1.0
367,34,60,18,"(34, 60, 18)",r:34_c:60_sp:18,p_inst:0,1.0,1.0
368,66,39,18,"(66, 39, 18)",r:66_c:39_sp:18,p_inst:0,1.0,1.0
369,58,52,18,"(58, 52, 18)",r:58_c:52_sp:18,p_inst:0,1.0,1.0
370,54,31,18,"(54, 31, 18)",r:54_c:31_sp:18,p_inst:0,1.0,1.0
371,34,54,18,"(34, 54, 18)",r:34_c:54_sp:18,p_inst:0,1.0,1.0
372,55,37,18,"(55, 37, 18)",r:55_c:37_sp:18,p_inst:0,1.0,1.0
373,77,52,18,"(77, 52, 18)",r:77_c:52_sp:18,p_inst:0,1.0,1.0
374,35,37,18,"(35, 37, 18)",r:35_c:37_sp:18,p_inst:0,1.0,1.0
375,71,31,18,"(71, 31, 18)",r:71_c:31_sp:18,p_inst:0,1.0,1.0
376,73,59,18,"(73, 59, 18)",r:73_c:59_sp:18,p_inst:0,1.0,1.0
377,54,41,18,"(54, 41, 18)",r:54_c:41_sp:18,p_inst:0,1.0,1.0
378,68,55,18,"(68, 55, 18)",r:68_c:55_sp:18,p_inst:0,1.0,1.0
379,59,40,18,"(59, 40, 18)",r:59_c:40_sp:18,p_inst:0,1.0,1.0
380,72,58,19,"(72, 58, 19)",r:72_c:58_sp:19,p_inst:0,1.0,1.0
381,70,32,19,"(70, 32, 19)",r:70_c:32_sp:19,p_inst:0,1.0,1.0
382,41,36,19,"(41, 36, 19)",r:41_c:36_sp:19,p_inst:0,1.0,1.0
383,84,42,19,"(84, 42, 19)",r:84_c:42_sp:19,p_inst:0,1.0,1.0
384,76,61,19,"(76, 61, 19)",r:76_c:61_sp:19,p_inst:0,1.0,1.0
385,72,45,19,"(72, 45, 19)",r:72_c:45_sp:19,p_inst:0,1.0,1.0
386,37,35,19,"(37, 35, 19)",r:37_c:35_sp:19,p_inst:0,1.0,1.0
387,34,60,19,"(34, 60, 19)",r:34_c:60_sp:19,p_inst:0,1.0,1.0
388,66,39,19,"(66, 39, 19)",r:66_c:39_sp:19,p_inst:0,1.0,1.0
389,58,52,19,"(58, 52, 19)",r:58_c:52_sp:19,p_inst:0,1.0,1.0
390,54,31,19,"(54, 31, 19)",r:54_c:31_sp:19,p_inst:0,1.0,1.0
391,34,54,19,"(34, 54, 19)",r:34_c:54_sp:19,p_inst:0,1.0,1.0
392,55,37,19,"(55, 37, 19)",r:55_c:37_sp:19,p_inst:0,1.0,1.0
393,77,52,19,"(77, 52, 19)",r:77_c:52_sp:19,p_inst:0,1.0,1.0
394,35,37,19,"(35, 37, 19)",r:35_c:37_sp:19,p_inst:0,1.0,1.0
395,71,31,19,"(71, 31, 19)",r:71_c:31_sp:19,p_inst:0,1.0,1.0
396,73,59,19,"(73, 59, 19)",r:73_c:59_sp:19,p_inst:0,1.0,1.0
397,54,41,19,"(54, 41, 19)",r:54_c:41_sp:19,p_inst:0,1.0,1.0
398,68,55,19,"(68, 55, 19)",r:68_c:55_sp:19,p_inst:0,1.0,1.0
399,59,40,19,"(59, 40, 19)",r:59_c:40_sp:19,p_inst:0,1.0,1.0
400,72,58,20,"(72, 58, 20)",r:72_c:58_sp:20,p_inst:0,1.0,1.0
401,70,32,20,"(70, 32, 20)",r:70_c:32_sp:20,p_inst:0,1.0,1.0
402,41,36,20,"(41, 36, 20)",r:41_c:36_sp:20,p_inst:0,1.0,1.0
403,84,42,20,"(84, 42, 20)",r:84_c:42_sp:20,p_inst:0,1.0,1.0
404,76,61,20,"(76, 61, 20)",r:76_c:61_sp:20,p_inst:0,1.0,1.0
405,72,45,20,"(72, 45, 20)",r:72_c:45_sp:20,p_inst:0,1.0,1.0
406,37,35,20,"(37, 35, 20)",r:37_c:35_sp:20,p_inst:0,1.0,1.0
407,34,60,20,"(34, 60, 20)",r:34_c:60_sp:20,p_inst:0,1.0,1.0
408,66,39,20,"(66, 39, 20)",r:66_c:39_sp:20,p_inst:0,1.0,1.0
409,58,52,20,"(58, 52, 20)",r:58_c:52_sp:20,p_inst:0,1.0,1.0
410,54,31,20,"(54, 31, 20)",r:54_c:31_sp:20,p_inst:0,1.0,1.0
411,34,54,20,"(34, 54, 20)",r:34_c:54_sp:20,p_inst:0,1.0,1.0
412,55,37,20,"(55, 37, 20)",r:55_c:37_sp:20,p_inst:0,1.0,1.0
413,77,52,20,"(77, 52, 20)",r:77_c:52_sp:20,p_inst:0,1.0,1.0
414,35,37,20,"(35, 37, 20)",r:35_c:37_sp:20,p_inst:0,1.0,1.0
415,71,31,20,"(71, 31, 20)",r:71_c:31_sp:20,p_inst:0,1.0,1.0
416,73,59,20,"(73, 59, 20)",r:73_c:59_sp:20,p_inst:0,1.0,1.0
417,54,41,20,"(54, 41, 20)",r:54_c:41_sp:20,p_inst:0,1.0,1.0
418,68,55,20,"(68, 55, 20)",r:68_c:55_sp:20,p_inst:0,1.0,1.0
419,59,40,20,"(59, 40, 20)",r:59_c:40_sp:20,p_inst:0,1.0,1.0
420,72,58,21,"(72, 58, 21)",r:72_c:58_sp:21,p_inst:0,1.0,1.0
421,70,32,21,"(70, 32, 21)",r:70_c:32_sp:21,p_inst:0,1.0,1.0
422,41,36,21,"(41, 36, 21)",r:41_c:36_sp:21,p_inst:0,1.0,1.0
423,84,42,21,"(84, 42, 21)",r:84_c:42_sp:21,p_inst:0,1.0,1.0
424,76,61,21,"(76, 61, 21)",r:76_c:61_sp:21,p_inst:0,1.0,1.0
425,72,45,21,"(72, 45, 21)",r:72_c:45_sp:21,p_inst:0,1.0,1.0
426,37,35,21,"(37, 35, 21)",r:37_c:35_sp:21,p_inst:0,1.0,1.0
427,34,60,21,"(34, 60, 21)",r:34_c:60_sp:21,p_inst:0,1.0,1.0
428,66,39,21,"(66, 39, 21)",r:66_c:39_sp:21,p_inst:0,1.0,1.0
429,58,52,21,"(58, 52, 21)",r:58_c:52_sp:21,p_inst:0,1.0,1.0
430,54,31,21,"(54, 31, 21)",r:54_c:31_sp:21,p_inst:0,1.0,1.0
431,34,54,21,"(34, 54, 21)",r:34_c:54_sp:21,p_inst:0,1.0,1.0
432,55,37,21,"(55, 37, 21)",r:55_c:37_sp:21,p_inst:0,1.0,1.0
433,77,52,21,"(77, 52, 21)",r:77_c:52_sp:21,p_inst:0,1.0,1.0
434,35,37,21,"(35, 37, 21)",r:35_c:37_sp:21,p_inst:0,1.0,1.0
435,71,31,21,"(71, 31, 21)",r:71_c:31_sp:21,p_inst:0,1.0,1.0
436,73,59,21,"(73, 59, 21)",r:73_c:59_sp:21,p_inst:0,1.0,1.0
437,54,41,21,"(54, 41, 21)",r:54_c:41_sp:21,p_inst:0,1.0,1.0
438,68,55,21,"(68, 55, 21)",r:68_c:55_sp:21,p_inst:0,1.0,1.0
439,59,40,21,"(59, 40, 21)",r:59_c:40_sp:21,p_inst:0,1.0,1.0
440,72,58,22,"(72, 58, 22)",r:72_c:58_sp:22,p_inst:0,1.0,1.0
441,70,32,22,"(70, 32, 22)",r:70_c:32_sp:22,p_inst:0,1.0,1.0
442,41,36,22,"(41, 36, 22)",r:41_c:36_sp:22,p_inst:0,1.0,1.0
443,84,42,22,"(84, 42, 22)",r:84_c:42_sp:22,p_inst:0,1.0,1.0
444,76,61,22,"(76, 61, 22)",r:76_c:61_sp:22,p_inst:0,1.0,1.0
445,72,45,22,"(72, 45, 22)",r:72_c:45_sp:22,p_inst:0,1.0,1.0
446,37,35,22,"(37, 35, 22)",r:37_c:35_sp:22,p_inst:0,1.0,1.0
447,34,60,22,"(34, 60, 22)",r:34_c:60_sp:22,p_inst:0,1.0,1.0
448,66,39,22,"(66, 39, 22)",r:66_c:39_sp:22,p_inst:0,1.0,1.0
449,58,52,22,"(58, 52, 22)",r:58_c:52_sp:22,p_inst:0,1.0,1.0
450,54,31,22,"(54, 31, 22)",r:54_c:31_sp:22,p_inst:0,1.0,1.0
451,34,54,22,"(34, 54, 22)",r:34_c:54_sp:22,p_inst:0,1.0,1.0
452,55,37,22,"(55, 37, 22)",r:55_c:37_sp:22,p_inst:0,1.0,1.0
453,77,52,22,"(77, 52, 22)",r:77_c:52_sp:22,p_inst:0,1.0,1.0
454,35,37,22,"(35, 37, 22)",r:35_c:37_sp:22,p_inst:0,1.0,1.0
455,71,31,22,"(71, 31, 22)",r:71_c:31_sp:22,p_inst:0,1.0,1.0
456,73,59,22,"(73, 59, 22)",r:73_c:59_sp:22,p_inst:0,1.0,1.0
457,54,41,22,"(54, 41, 22)",r:54_c:41_sp:22,p_inst:0,1.0,1.0
458,68,55,22,"(68, 55, 22)",r:68_c:55_sp:22,p_inst:0,1.0,1.0
459,59,40,22,"(59, 40, 22)",r:59_c:40_sp:22,p_inst:0,1.0,1.0
460,72,58,23,"(72, 58, 23)",r:72_c:58_sp:23,p_inst:0,1.0,1.0
461,70,32,23,"(70, 32, 23)",r:70_c:32_sp:23,p_inst:0,1.0,1.0
462,41,36,23,"(41, 36, 23)",r:41_c:36_sp:23,p_inst:0,1.0,1.0
463,84,42,23,"(84, 42, 23)",r:84_c:42_sp:23,p_inst:0,1.0,1.0
464,76,61,23,"(76, 61, 23)",r:76_c:61_sp:23,p_inst:0,1.0,1.0
465,72,45,23,"(72, 45, 23)",r:72_c:45_sp:23,p_inst:0,1.0,1.0
466,37,35,23,"(37, 35, 23)",r:37_c:35_sp:23,p_inst:0,1.0,1.0
467,34,60,23,"(34, 60, 23)",r:34_c:60_sp:23,p_inst:0,1.0,1.0
468,66,39,23,"(66, 39, 23)",r:66_c:39_sp:23,p_inst:0,1.0,1.0
469,58,52,23,"(58, 52, 23)",r:58_c:52_sp:23,p_inst:0,1.0,1.0
470,54,31,23,"(54, 31, 23)",r:54_c:31_sp:23,p_inst:0,1.0,1.0
471,34,54,23,"(34, 54, 23)",r:34_c:54_sp:23,p_inst:0,1.0,1.0
472,55,37,23,"(55, 37, 23)",r:55_c:37_sp:23,p_inst:0,1.0,1.0
473,77,52,23,"(77, 52, 23)",r:77_c:52_sp:23,p_inst:0,1.0,1.0
474,35,37,23,"(35, 37, 23)",r:35_c:37_sp:23,p_inst:0,1.0,1.0
475,71,31,23,"(71, 31, 23)",r:71_c:31_sp:23,p_inst:0,1.0,1.0
476,73,59,23,"(73, 59, 23)",r:73_c:59_sp:23,p_inst:0,1.0,1.0
477,54,41,23,"(54, 41, 23)",r:54_c:41_sp:23,p_inst:0,1.0,1.0
478,68,55,23,"(68, 55, 23)",r:68_c:55_sp:23,p_inst:0,1.0,1.0
479,59,40,23,"(59, 40, 23)",r:59_c:40_sp:23,p_inst:0,1.0,1.0
480,72,58,24,"(72, 58, 24)",r:72_c:58_sp:24,p_inst:0,1.0,1.0
481,70,32,24,"(70, 32, 24)",r:70_c:32_sp:24,p_inst:0,1.0,1.0
482,41,36,24,"(41, 36, 24)",r:41_c:36_sp:24,p_inst:0,1.0,1.0
483,84,42,24,"(84, 42, 24)",r:84_c:42_sp:24,p_inst:0,1.0,1.0
484,76,61,24,"(76, 61, 24)",r:76_c:61_sp:24,p_inst:0,1.0,1.0
485,72,45,24,"(72, 45, 24)",r:72_c:45_sp:24,p_inst:0,1.0,1.0
486,37,35,24,"(37, 35, 24)",r:37_c:35_sp:24,p_inst:0,1.0,1.0
487,34,60,24,"(34, 60, 24)",r:34_c:60_sp:24,p_inst:0,1.0,1.0
488,66,39,24,"(66, 39, 24)",r:66_c:39_sp:24,p_inst:0,1.0,1.0
489,58,52,24,"(58, 52, 24)",r:58_c:52_sp:24,p_inst:0,1.0,1.0
490,54,31,24,"(54, 31, 24)",r:54_c:31_sp:24,p_inst:0,1.0,1.0
491,34,54,24,"(34, 54, 24)",r:34_c:54_sp:24,p_inst:0,1.0,1.0
492,55,37,24,"(55, 37, 24)",r:55_c:37_sp:24,p_inst:0,1.0,1.0
493,77,52,24,"(77, 52, 24)",r:77_c:52_sp:24,p_inst:0,1.0,1.0
494,35,37,24,"(35, 37, 24)",r:35_c:37_sp:24,p_inst:0,1.0,1.0
495,71,31,24,"(71, 31, 24)",r:71_c:31_sp:24,p_inst:0,1.0,1.0
496,73,59,24,"(73, 59, 24)",r:73_c:59_sp:24,p_inst:0,1.0,1.0
497,54,41,24,"(54, 41, 24)",r:54_c:41_sp:24,p_inst:0,1.0,1.0
498,68,55,24,"(68, 55, 24)",r:68_c:55_sp:24,p_inst:0,1.0,1.0
499,59,40,24,"(59, 40, 24)",r:59_c:40_sp:24,p_inst:0,1.0,1.0
500,72,58,25,"(72, 58, 25)",r:72_c:58_sp:25,p_inst:0,1.0,1.0
501,70,32,25,"(70, 32, 25)",r:70_c:32_sp:25,p_inst:0,1.0,1.0
502,41,36,25,"(41, 36, 25)",r:41_c:36_sp:25,p_inst:0,1.0,1.0
503,84,42,25,"(84, 42, 25)",r:84_c:42_sp:25,p_inst:0,1.0,1.0
504,76,61,25,"(76, 61, 25)",r:76_c:61_sp:25,p_inst:0,1.0,1.0
505,72,45,25,"(72, 45, 25)",r:72_c:45_sp:25,p_inst:0,1.0,1.0
506,37,35,25,"(37, 35, 25)",r:37_c:35_sp:25,p_inst:0,1.0,1.0
507,34,60,25,"(34, 60, 25)",r:34_c:60_sp:25,p_inst:0,1.0,1.0
508,66,39,25,"(66, 39, 25)",r:66_c:39_sp:25,p_inst:0,1.0,1.0
509,58,52,25,"(58, 52, 25)",r:58_c:52_sp:25,p_inst:0,1.0,1.0
510,54,31,25,"(54, 31, 25)",r:54_c:31_sp:25,p_inst:0,1.0,1.0
511,34,54,25,"(34, 54, 25)",r:34_c:54_sp:25,p_inst:0,1.0,1.0
512,55,37,25,"(55, 37, 25)",r:55_c:37_sp:25,p_inst:0,1.0,1.0
513,77,52,25,"(77, 52, 25)",r:77_c:52_sp:25,p_inst:0,1.0,1.0
514,35,37,25,"(35, 37, 25)",r:35_c:37_sp:25,p_inst:0,1.0,1.0
515,71,31,25,"(71, 31, 25)",r:71_c:31_sp:25,p_inst:0,1.0,1.0
516,73,59,25,"(73, 59, 25)",r:73_c:59_sp:25,p_inst:0,1.0,1.0
517,54,41,25,"(54, 41, 25)",r:54_c:41_sp:25,p_inst:0,1.0,1.0
518,68,55,25,"(68, 55, 25)",r:68_c:55_sp:25,p_inst:0,1.0,1.0
519,59,40,25,"(59, 40, 25)",r:59_c:40_sp:25,p_inst:0,1.0,1.0
520,72,58,26,"(72, 58, 26)",r:72_c:58_sp:26,p_inst:0,1.0,1.0
521,70,32,26,"(70, 32, 26)",r:70_c:32_sp:26,p_inst:0,1.0,1.0
522,41,36,26,"(41, 36, 26)",r:41_c:36_sp:26,p_inst:0,1.0,1.0
523,84,42,26,"(84, 42, 26)",r:84_c:42_sp:26,p_inst:0,1.0,1.0
524,76,61,26,"(76, 61, 26)",r:76_c:61_sp:26,p_inst:0,1.0,1.0
525,72,45,26,"(72, 45, 26)",r:72_c:45_sp:26,p_inst:0,1.0,1.0
526,37,35,26,"(37, 35, 26)",r:37_c:35_sp:26,p_inst:0,1.0,1.0
527,34,60,26,"(34, 60, 26)",r:34_c:60_sp:26,p_inst:0,1.0,1.0
528,66,39,26,"(66, 39, 26)",r:66_c:39_sp:26,p_inst:0,1.0,1.0
529,58,52,26,"(58, 52, 26)",r:58_c:52_sp:26,p_inst:0,1.0,1.0
530,54,31,26,"(54, 31, 26)",r:54_c:31_sp:26,p_inst:0,1.0,1.0
531,34,54,26,"(34, 54, 26)",r:34_c:54_sp:26,p_inst:0,1.0,1.0
532,55,37,26,"(55, 37, 26)",r:55_c:37_sp:26,p_inst:0,1.0,1.0
533,77,52,26,"(77, 52, 26)",r:77_c:52_sp:26,p_inst:0,1.0,1.0
534,35,37,26,"(35, 37, 26)",r:35_c:37_sp:26,p_inst:0,1.0,1.0
535,71,31,26,"(71, 31, 26)",r:71_c:31_sp:26,p_inst:0,1.0,1.0
536,73,59,26,"(73, 59, 26)",r:73_c:59_sp:26,p_inst:0,1.0,1.0
537,54,41,26,"(54, 41, 26)",r:54_c:41_sp:26,p_inst:0,1.0,1.0
538,68,55,26,"(68, 55, 26)",r:68_c:55_sp:26,p_inst:0,1.0,1.0
539,59,40,26,"(59, 40, 26)",r:59_c:40_sp:26,p_inst:0,1.0,1.0
540,72,58,27,"(72, 58, 27)",r:72_c:58_sp:27,p_inst:0,1.0,1.0
541,70,32,27,"(70, 32, 27)",r:70_c:32_sp:27,p_inst:0,1.0,1.0
542,41,36,27,"(41, 36, 27)",r:41_c:36_sp:27,p_inst:0,1.0,1.0
543,84,42,27,"(84, 42, 27)",r:84_c:42_sp:27,p_inst:0,1.0,1.0
544,76,61,27,"(76, 61, 27)",r:76_c:61_sp:27,p_inst:0,1.0,1.0
545,72,45,27,"(72, 45, 27)",r:72_c:45_sp:27,p_inst:0,1.0,1.0
546,37,35,27,"(37, 35, 27)",r:37_c:35_sp:27,p_inst:0,1.0,1.0
547,34,60,27,"(34, 60, 27)",r:34_c:60_sp:27,p_inst:0,1.0,1.0
548,66,39,27,"(66, 39, 27)",r:66_c:39_sp:27,p_inst:0,1.0,1.0
549,58,52,27,"(58, 52, 27)",r:58_c:52_sp:27,p_inst:0,1.0,1.0
550,54,31,27,"(54, 31, 27)",r:54_c:31_sp:27,p_inst:0,1.0,1.0
551,34,54,27,"(34, 54, 27)",r:34_c:54_sp:27,p_inst:0,1.0,1.0
552,55,37,27,"(55, 37, 27)",r:55_c:37_sp:27,p_inst:0,1.0,1.0
553,77,52,27,"(77, 52, 27)",r:77_c:52_sp:27,p_inst:0,1.0,1.0
554,35,37,27,"(35, 37, 27)",r:35_c:37_sp:27,p_inst:0,1.0,1.0
555,71,31,27,"(71, 31, 27)",r:71_c:31_sp:27,p_inst:0,1.0,1.0
556,73,59,27,"(73, 59, 27)",r:73_c:59_sp:27,p_inst:0,1.0,1.0
557,54,41,27,"(54, 41, 27)",r:54_c:41_sp:27,p_inst:0,1.0,1.0
558,68,55,27,"(68, 55, 27)",r:68_c:55_sp:27,p_inst:0,1.0,1.0
559,59,40,27,"(59, 40, 27)",r:59_c:40_sp:27,p_inst:0,1.0,1.0
560,72,58,28,"(72, 58, 28)",r:72_c:58_sp:28,p_inst:0,1.0,1.0
561,70,32,28,"(70, 32, 28)",r:70_c:32_sp:28,p_inst:0,1.0,1.0
562,41,36,28,"(41, 36, 28)",r:41_c:36_sp:28,p_inst:0,1.0,1.0
563,84,42,28,"(84, 42, 28)",r:84_c:42_sp:28,p_inst:0,1.0,1.0
564,76,61,28,"(76, 61, 28)",r:76_c:61_sp:28,p_inst:0,1.0,1.0
565,72,45,28,"(72, 45, 28)",r:72_c:45_sp:28,p_inst:0,1.0,1.0
566,37,35,28,"(37, 35, 28)",r:37_c:35_sp:28,p_inst:0,1.0,1.0
567,34,60,28,"(34, 60, 28)",r:34_c:60_sp:28,p_inst:0,1.0,1.0
568,66,39,28,"(66, 39, 28)",r:66_c:39_sp:28,p_inst:0,1.0,1.0
569,58,52,28,"(58, 52, 28)",r:58_c:52_sp:28,p_inst:0,1.0,1.0
570,54,31,28,"(54, 31, 28)",r:54_c:31_sp:28,p_inst:0,1.0,1.0
571,34,54,28,"(34, 54, 28)",r:34_c:54_sp:28,p_inst:0,1.0,1.0
572,55,37,28,"(55, 37, 28)",r:55_c:37_sp:28,p_inst:0,1.0,1.0
573,77,52,28,"(77, 52, 28)",r:77_c:52_sp:28,p_inst:0,1.0,1.0
574,35,37,28,"(35, 37, 28)",r:35_c:37_sp:28,p_inst:0,1.0,1.0
575,71,31,28,"(71, 31, 28)",r:71_c:31_sp:28,p_inst:0,1.0,1.0
576,73,59,28,"(73, 59, 28)",r:73_c:59_sp:28,p_inst:0,1.0,1.0
577,54,41,28,"(54, 41, 28)",r:54_c:41_sp:28,p_inst:0,1.0,1.0
578,68,55,28,"(68, 55, 28)",r:68_c:55_sp:28,p_inst:0,1.0,1.0
579,59,40,28,"(59, 40, 28)",r:59_c:40_sp:28,p_inst:0,1.0,1.0
580,72,58,29,"(72, 58, 29)",r:72_c:58_sp:29,p_inst:0,1.0,1.0
581,70,32,29,"(70, 32, 29)",r:70_c:32_sp:29,p_inst:0,1.0,1.0
582,41,36,29,"(41, 36, 29)",r:41_c:36_sp:29,p_inst:0,1.0,1.0
583,84,42,29,"(84, 42, 29)",r:84_c:42_sp:29,p_inst:0,1.0,1.0
584,76,61,29,"(76, 61, 29)",r:76_c:61_sp:29,p_inst:0,1.0,1.0
585,72,45,29,"(72, 45, 29)",r:72_c:45_sp:29,p_inst:0,1.0,1.0
586,37,35,29,"(37, 35, 29)",r:37_c:35_sp:29,p_inst:0,1.0,1.0
587,34,60,29,"(34, 60, 29)",r:34_c:60_sp:29,p_inst:0,1.0,1.0
588,66,39,29,"(66, 39, 29)",r:66_c:39_sp:29,p_inst:0,1.0,1.0
589,58,52,29,"(58, 52, 29)",r:58_c:52_sp:29,p_inst:0,1.0,1.0
590,54,31,29,"(54, 31, 29)",r:54_c:31_sp:29,p_inst:0,1.0,1.0
591,34,54,29,"(34, 54, 29)",r:34_c:54_sp:29,p_inst:0,1.0,1.0
592,55,37,29,"(55, 37, 29)",r:55_c:37_sp:29,p_inst:0,1.0,1.0
